SimulationTime neuron_model_spike neuron_model_stateCURRENT_voltage_v neuron_model_stateCURRENT_none_U neuron_model_stateCURRENT_none_i1_I 
0.000000e+00 0 -7.000041e-02 -1.400000e+01 0.000000e+00 
5.006790e-05 0 -7.000089e-02 -1.400000e+01 0.000000e+00 
1.001358e-04 0 -7.000136e-02 -1.400000e+01 0.000000e+00 
1.502037e-04 0 -7.000184e-02 -1.400000e+01 0.000000e+00 
2.002716e-04 0 -7.000232e-02 -1.400000e+01 0.000000e+00 
2.503395e-04 0 -7.000279e-02 -1.400000e+01 0.000000e+00 
3.004074e-04 0 -7.000327e-02 -1.400000e+01 0.000000e+00 
3.504753e-04 0 -7.000375e-02 -1.400000e+01 0.000000e+00 
4.005432e-04 0 -7.000422e-02 -1.400000e+01 0.000000e+00 
4.506111e-04 0 -7.000470e-02 -1.400000e+01 0.000000e+00 
5.006790e-04 0 -7.000518e-02 -1.400000e+01 0.000000e+00 
5.507469e-04 0 -7.000566e-02 -1.400000e+01 0.000000e+00 
6.008148e-04 0 -7.000613e-02 -1.400000e+01 0.000000e+00 
6.508827e-04 0 -7.000661e-02 -1.400000e+01 0.000000e+00 
7.009506e-04 0 -7.000709e-02 -1.400000e+01 0.000000e+00 
7.510185e-04 0 -7.000732e-02 -1.400000e+01 0.000000e+00 
8.010864e-04 0 -7.000756e-02 -1.400000e+01 0.000000e+00 
8.511543e-04 0 -7.000780e-02 -1.400000e+01 0.000000e+00 
9.012222e-04 0 -7.000804e-02 -1.400000e+01 0.000000e+00 
9.512901e-04 0 -7.000828e-02 -1.400000e+01 0.000000e+00 
1.001358e-03 0 -7.000852e-02 -1.400000e+01 0.000000e+00 
1.051426e-03 0 -7.000875e-02 -1.400000e+01 0.000000e+00 
1.101494e-03 0 -7.000899e-02 -1.400000e+01 0.000000e+00 
1.151562e-03 0 -7.000923e-02 -1.400000e+01 0.000000e+00 
1.201630e-03 0 -7.000947e-02 -1.400000e+01 0.000000e+00 
1.251698e-03 0 -7.000971e-02 -1.400000e+01 0.000000e+00 
1.301765e-03 0 -7.000995e-02 -1.400000e+01 0.000000e+00 
1.351833e-03 0 -7.001019e-02 -1.400000e+01 0.000000e+00 
1.401901e-03 0 -7.001042e-02 -1.400000e+01 0.000000e+00 
1.451969e-03 0 -7.001066e-02 -1.400000e+01 0.000000e+00 
1.502037e-03 0 -7.001090e-02 -1.400000e+01 0.000000e+00 
1.552105e-03 0 -7.001114e-02 -1.400000e+01 0.000000e+00 
1.602173e-03 0 -7.001138e-02 -1.400000e+01 0.000000e+00 
1.652241e-03 0 -7.001162e-02 -1.400000e+01 0.000000e+00 
1.702309e-03 0 -7.001185e-02 -1.400000e+01 0.000000e+00 
1.752377e-03 0 -7.001209e-02 -1.400000e+01 0.000000e+00 
1.802444e-03 0 -7.001233e-02 -1.400000e+01 0.000000e+00 
1.852512e-03 0 -7.001257e-02 -1.400000e+01 0.000000e+00 
1.902580e-03 0 -7.001281e-02 -1.400000e+01 0.000000e+00 
1.952648e-03 0 -7.001305e-02 -1.400000e+01 0.000000e+00 
2.002716e-03 0 -7.001328e-02 -1.400000e+01 0.000000e+00 
2.052784e-03 0 -7.001352e-02 -1.400000e+01 0.000000e+00 
2.102852e-03 0 -7.001376e-02 -1.400000e+01 0.000000e+00 
2.152920e-03 0 -7.001400e-02 -1.400000e+01 0.000000e+00 
