0.050117992 0.05 1.39219045E-8 
0.050067894 0.050000004 4.60901E-9 
0.0500679 0.049999997 4.6110333E-9 
0.050067917 0.050000012 4.6110333E-9 
0.0500679 0.049999982 4.6130575E-9 
0.05006787 0.050000012 4.6049644E-9 
0.0500679 0.049999982 4.6130575E-9 
0.0500679 0.050000012 4.60901E-9 
PRD ISI: Infinity
